"EVTYPE","STATE","total_f","total_i"
"URBAN AND SMALL STREAM FLOOD","IL",0,0
"URBAN AND SMALL STREAM FLOOD","ME",0,0
"Urban flood","RI",0,0
"Urban Flood","SC",0,0
"URBAN FLOOD","CT",0,0
"URBAN FLOOD","FL",0,0
"URBAN FLOOD","IA",0,0
"URBAN FLOOD","ID",0,0
"URBAN FLOOD","IL",0,0
"URBAN FLOOD","IN",0,0
"URBAN FLOOD","KS",0,0
"URBAN FLOOD","LA",0,0
"URBAN FLOOD","MA",0,0
"URBAN FLOOD","ME",0,0
"URBAN FLOOD","MO",0,0
"URBAN FLOOD","MS",0,0
"URBAN FLOOD","MT",0,0
"URBAN FLOOD","NC",0,0
"URBAN FLOOD","NJ",0,0
"URBAN FLOOD","NV",0,0
"URBAN FLOOD","NY",0,0
"URBAN FLOOD","OR",0,0
"URBAN FLOOD","PR",0,0
"URBAN FLOOD","SC",0,0
"URBAN FLOOD","TX",0,0
"URBAN FLOOD","VI",0,0
"URBAN FLOOD","VT",0,0
"URBAN FLOOD","WI",0,0
"URBAN FLOOD LANDSLIDE","PR",0,0
"Urban Flooding","OR",0,0
"URBAN FLOODING","CA",0,0
"URBAN FLOODING","FL",0,0
"URBAN FLOODING","IA",0,0
"URBAN FLOODING","ID",0,0
"URBAN FLOODING","IL",0,0
"URBAN FLOODING","KS",0,0
"URBAN FLOODING","LA",0,0
"URBAN FLOODING","MA",0,0
"URBAN FLOODING","MI",0,0
"URBAN FLOODING","MT",0,0
"URBAN FLOODING","NJ",0,0
"URBAN FLOODING","NV",0,0
"URBAN FLOODING","NY",0,0
"URBAN FLOODING","PA",0,0
"URBAN FLOODING","SC",0,0
"URBAN FLOODING","TN",0,0
"URBAN FLOODING","TX",0,0
"URBAN FLOODING","WI",0,0
"URBAN FLOODS","PR",0,0
"URBAN SMALL","PR",0,0
"URBAN SMALL STREAM FLOOD","PR",0,0
"URBAN/SMALL","CA",0,0
"URBAN/SMALL FLOODING","CA",0,0
"URBAN/SMALL STREAM","MS",0,0
"URBAN/SMALL STREAM","MT",0,0
"URBAN/SMALL STREAM","PR",0,0
"URBAN/SMALL STREAM  FLOOD","FL",0,0
"URBAN/SMALL STREAM  FLOOD","MO",0,0
"URBAN/SMALL STREAM FLOOD","FL",0,0
"URBAN/SMALL STREAM FLOOD","MO",0,0
"URBAN/SMALL STREAM FLOOD","MS",0,0
"URBAN/SMALL STREAM FLOOD","PR",0,0
"URBAN/SMALL STREAM FLOODING","CA",0,0
"URBAN/SMALL STREAM FLOODING","HI",0,0
"URBAN/SMALL STRM FLDG","VA",0,0
"URBAN/SML STREAM FLD","AK",0,0
"URBAN/SML STREAM FLD","AR",0,0
"URBAN/SML STREAM FLD","AS",0,0
"URBAN/SML STREAM FLD","AZ",0,1
"URBAN/SML STREAM FLD","CT",0,0
"URBAN/SML STREAM FLD","GA",0,0
"URBAN/SML STREAM FLD","GU",0,0
"URBAN/SML STREAM FLD","HI",0,6
"URBAN/SML STREAM FLD","ID",0,0
"URBAN/SML STREAM FLD","IN",0,0
"URBAN/SML STREAM FLD","KS",0,1
"URBAN/SML STREAM FLD","LA",0,0
"URBAN/SML STREAM FLD","MA",0,0
"URBAN/SML STREAM FLD","MD",0,0
"URBAN/SML STREAM FLD","ME",0,0
"URBAN/SML STREAM FLD","MI",0,0
"URBAN/SML STREAM FLD","MN",0,0
"URBAN/SML STREAM FLD","MS",0,0
"URBAN/SML STREAM FLD","NC",0,4
"URBAN/SML STREAM FLD","ND",0,0
"URBAN/SML STREAM FLD","NE",0,0
"URBAN/SML STREAM FLD","NH",0,0
"URBAN/SML STREAM FLD","NJ",0,0
"URBAN/SML STREAM FLD","NM",0,0
"URBAN/SML STREAM FLD","NV",0,1
"URBAN/SML STREAM FLD","OH",0,0
"URBAN/SML STREAM FLD","OK",0,0
"URBAN/SML STREAM FLD","OR",0,0
"URBAN/SML STREAM FLD","PA",0,2
"URBAN/SML STREAM FLD","PR",0,0
"URBAN/SML STREAM FLD","SD",0,0
"URBAN/SML STREAM FLD","TX",0,1
"URBAN/SML STREAM FLD","UT",0,8
"URBAN/SML STREAM FLD","VI",0,0
"URBAN/SML STREAM FLD","WI",0,1
"URBAN/SML STREAM FLD","WY",0,0
"URBAN/SML STREAM FLDG","MD",0,0
"URBAN/STREET FLOODING","ME",0,0
"URBAN/STREET FLOODING","NH",0,0
"VERY DRY","GA",0,0
"VERY WARM","GA",0,0
"VOG","HI",0,0
"Volcanic Ash","PR",0,0
"VOLCANIC ASH","AK",0,0
"VOLCANIC ASH","GU",0,0
"VOLCANIC ASH","PR",0,0
"VOLCANIC ASH","VI",0,0
"VOLCANIC ASH","WA",0,0
"Volcanic Ash Plume","PR",0,0
"VOLCANIC ASHFALL","PR",0,0
"VOLCANIC ASHFALL","VI",0,0
"VOLCANIC ERUPTION","AK",0,0
"WAKE LOW WIND","KS",0,0
"WALL CLOUD","AL",0,0
"WALL CLOUD","IA",0,0
"WALL CLOUD","NY",0,0
"WALL CLOUD/FUNNEL CLOUD","AL",0,0
"WARM DRY CONDITIONS","ME",0,0
"WARM WEATHER","MD",0,2
"WATER SPOUT","CA",0,0
"WATERSPOUT","AK",0,0
"WATERSPOUT","AL",0,0
"WATERSPOUT","AM",0,0
"WATERSPOUT","AN",0,1
"WATERSPOUT","AR",0,0
"WATERSPOUT","AZ",0,0
"WATERSPOUT","CA",0,0
"WATERSPOUT","CO",0,0
"WATERSPOUT","DE",0,0
"WATERSPOUT","GA",0,0
"WATERSPOUT","GM",0,0
"WATERSPOUT","GU",0,0
"WATERSPOUT","HI",0,0
"WATERSPOUT","IL",0,0
"WATERSPOUT","LE",0,0
"WATERSPOUT","LH",0,0
"WATERSPOUT","LM",0,0
"WATERSPOUT","LO",0,0
"WATERSPOUT","LS",0,0
"WATERSPOUT","MA",0,0
"WATERSPOUT","MD",0,0
"WATERSPOUT","ME",0,0
"WATERSPOUT","MI",0,0
"WATERSPOUT","MN",0,0
"WATERSPOUT","MS",0,0
"WATERSPOUT","MT",0,0
"WATERSPOUT","NC",0,1
"WATERSPOUT","NH",0,0
"WATERSPOUT","NJ",0,0
"WATERSPOUT","NY",0,0
"WATERSPOUT","OH",0,0
"WATERSPOUT","OR",0,0
"WATERSPOUT","PA",0,0
"WATERSPOUT","PH",0,0
"WATERSPOUT","PK",0,0
"WATERSPOUT","PM",0,0
"WATERSPOUT","PR",0,0
"WATERSPOUT","PZ",0,0
"WATERSPOUT","RI",0,0
"WATERSPOUT","SC",0,0
"WATERSPOUT","TX",0,0
"WATERSPOUT","UT",0,0
"WATERSPOUT","VA",0,0
"WATERSPOUT","VI",0,0
"WATERSPOUT","WA",0,0
"WATERSPOUT","WI",0,0
"WATERSPOUT","WV",0,0
"WATERSPOUT FUNNEL CLOUD","PR",0,0
"WATERSPOUT TORNADO","FL",0,1
"WATERSPOUT-","FL",0,0
"WATERSPOUT-","NC",0,0
"WATERSPOUT-","TX",0,0
"WATERSPOUT-TORNADO","FL",0,0
"WATERSPOUT/","MN",0,0
"WATERSPOUT/ TORNADO","LA",0,0
"WATERSPOUT/ TORNADO","MS",0,0
"WATERSPOUT/TORNADO","FL",0,3
"WATERSPOUTS","FL",0,0
"WATERSPOUTS","IL",0,0
"WATERSPOUTS","IN",0,0
"WATERSPOUTS","MN",0,0
"WATERSPOUTS","NC",0,0
"WATERSPOUTS","NV",0,0
"WATERSPOUTS","OH",0,0
"WATERSPOUTS","PA",0,0
"WATERSPOUTS","PR",0,0
"WATERSPOUTS","SC",0,0
"WATERSPOUTS","VI",0,0
"WATERSPOUTS","WI",0,0
"WAYTERSPOUT","FL",0,0
"wet micoburst","OR",0,0
"WET MICROBURST","CA",0,0
"WET MICROBURST","CO",0,0
"WET MICROBURST","NE",0,0
"WET MICROBURST","VA",0,0
"Wet Month","DE",0,0
"Wet Month","MD",0,0
"Wet Month","NJ",0,0
"Wet Month","PA",0,0
"WET SNOW","NH",0,0
"WET WEATHER","PA",0,0
"Wet Year","DE",0,0
"Wet Year","MD",0,0
"Wet Year","NJ",0,0
"Wet Year","PA",0,0
"WHIRLWIND","FL",0,0
"WILD FIRES","MI",0,0
"WILD/FOREST FIRE","AK",0,9
"WILD/FOREST FIRE","AL",0,0
"WILD/FOREST FIRE","AZ",0,0
"WILD/FOREST FIRE","CO",0,4
"WILD/FOREST FIRE","DE",0,0
"WILD/FOREST FIRE","FL",0,102
"WILD/FOREST FIRE","GA",0,0
"WILD/FOREST FIRE","GU",0,1
"WILD/FOREST FIRE","HI",0,4
"WILD/FOREST FIRE","ID",0,1
"WILD/FOREST FIRE","IL",0,0
"WILD/FOREST FIRE","KS",0,3
"WILD/FOREST FIRE","KY",0,0
"WILD/FOREST FIRE","MD",0,0
"WILD/FOREST FIRE","MI",0,4
"WILD/FOREST FIRE","MO",0,5
"WILD/FOREST FIRE","MT",0,33
"WILD/FOREST FIRE","NC",0,0
"WILD/FOREST FIRE","ND",0,0
"WILD/FOREST FIRE","NE",0,0
"WILD/FOREST FIRE","NJ",0,6
"WILD/FOREST FIRE","NM",0,0
"WILD/FOREST FIRE","NV",0,0
"WILD/FOREST FIRE","NY",0,0
"WILD/FOREST FIRE","OK",0,3
"WILD/FOREST FIRE","OR",0,4
"WILD/FOREST FIRE","PA",0,0
"WILD/FOREST FIRE","PR",0,0
"WILD/FOREST FIRE","SC",0,0
"WILD/FOREST FIRE","TX",0,2
"WILD/FOREST FIRE","VA",0,0
"WILD/FOREST FIRE","VI",0,0
"WILD/FOREST FIRE","WI",0,0
"WILD/FOREST FIRES","VA",0,0
"WILDFIRE","AK",0,0
"WILDFIRE","AL",0,0
"WILDFIRE","AR",0,4
"WILDFIRE","AZ",0,14
"WILDFIRE","CO",0,7
"WILDFIRE","DE",0,1
"WILDFIRE","GA",0,10
"WILDFIRE","HI",0,8
"WILDFIRE","IA",0,2
"WILDFIRE","IL",0,0
"WILDFIRE","IN",0,0
"WILDFIRE","KS",0,1
"WILDFIRE","KY",0,0
"WILDFIRE","LA",0,3
"WILDFIRE","MD",0,2
"WILDFIRE","MI",0,0
"WILDFIRE","MN",0,2
"WILDFIRE","MO",0,0
"WILDFIRE","MS",0,0
"WILDFIRE","MT",0,0
"WILDFIRE","NC",0,0
"WILDFIRE","ND",0,6
"WILDFIRE","NE",0,0
"WILDFIRE","NJ",0,4
"WILDFIRE","NM",0,20
"WILDFIRE","NV",0,0
"WILDFIRE","NY",0,0
"WILDFIRE","OR",0,3
"WILDFIRE","PA",0,0
"WILDFIRE","PR",0,0
"WILDFIRE","SC",0,0
"WILDFIRE","SD",0,0
"WILDFIRE","TN",0,0
"WILDFIRE","VA",0,4
"WILDFIRE","VI",0,0
"WILDFIRE","WA",0,5
"WILDFIRE","WY",0,10
"WILDFIRES","NJ",0,0
"WILDFIRES","NM",0,0
"WILDFIRES","PA",0,0
"WILDFIRES","WA",0,0
"WILDFIRES","WI",0,0
"Wind","CA",0,0
"Wind","WV",0,0
"WIND","AL",0,0
"WIND","CO",0,0
"WIND","DE",0,0
"WIND","HI",0,1
"WIND","IL",0,0
"WIND","IN",0,0
"WIND","KS",0,0
"WIND","KY",0,0
"WIND","LA",0,3
"WIND","MA",0,0
"WIND","MD",0,0
"WIND","MI",0,1
"WIND","MO",0,0
"WIND","OH",0,11
"WIND","SC",0,0
"WIND","VA",0,0
"WIND","VT",0,0
"WIND","WI",0,0
"WIND","WV",0,2
"WIND ADVISORY","AS",0,0
"WIND ADVISORY","CA",0,0
"WIND ADVISORY","HI",0,0
"WIND AND WAVE","TN",0,0
"WIND CHILL","AK",0,0
"WIND CHILL","ID",0,0
"WIND CHILL/HIGH WIND","AK",0,0
"Wind Damage","CA",0,0
"Wind Damage","OR",0,0
"Wind Damage","VT",0,0
"WIND DAMAGE","AZ",0,0
"WIND DAMAGE","CA",0,0
"WIND DAMAGE","GA",0,0
"WIND DAMAGE","KS",0,0
"WIND DAMAGE","NM",0,0
"WIND DAMAGE","OR",0,0
"WIND DAMAGE","SC",0,0
"WIND DAMAGE","TX",0,0
"WIND GUSTS","VT",0,0
"WIND/HAIL","KY",0,0
"WINDS","CA",0,0
"WINDS","CO",0,0
"WINDS","DE",0,0
"WINDS","GA",0,0
"WINDS","IA",0,1
"WINDS","ID",0,0
"WINDS","KY",0,0
"WINDS","MD",0,0
"WINDS","ND",0,0
"WINDS","NM",0,0
"WINDS","OR",0,0
"WINDS","PA",0,0
"WINDS","SC",0,0
"WINDS","TX",0,0
"WINDS","WV",0,0
"WINTER MIX","NY",0,0
"WINTER MIX","WV",0,0
"WINTER STORM","FL",0,1
"WINTER STORM","GA",0,0
"WINTER STORM","HI",0,0
"WINTER STORM","IN",0,0
"WINTER STORM","KY",0,0
"WINTER STORM","LA",0,4
"WINTER STORM","MA",0,0
"WINTER STORM","MS",0,0
"WINTER STORM","NH",0,0
"WINTER STORM","OK",0,1
"WINTER STORM","RI",0,2
"WINTER STORM","SC",0,0
"WINTER STORM","SD",0,7
"WINTER STORM","WI",0,7
"WINTER STORM","WV",0,6
"WINTER STORM/HIGH WIND","CA",0,0
"WINTER STORM/HIGH WINDS","CA",0,0
"Winter Weather","DC",0,0
"Winter Weather","MD",0,0
"Winter Weather","TX",0,0
"Winter Weather","VA",0,0
"Winter Weather","WV",0,0
"WINTER WEATHER","AL",0,0
"WINTER WEATHER","AZ",0,55
"WINTER WEATHER","CO",0,0
"WINTER WEATHER","DC",0,0
"WINTER WEATHER","DE",0,10
"WINTER WEATHER","FL",0,0
"WINTER WEATHER","GA",0,0
"WINTER WEATHER","HI",0,0
"WINTER WEATHER","IA",0,0
"WINTER WEATHER","IL",0,0
"WINTER WEATHER","IN",0,0
"WINTER WEATHER","KY",0,4
"WINTER WEATHER","LA",0,0
"WINTER WEATHER","MA",0,0
"WINTER WEATHER","ME",0,0
"WINTER WEATHER","MI",0,0
"WINTER WEATHER","MO",0,0
"WINTER WEATHER","MS",0,0
"WINTER WEATHER","ND",0,0
"WINTER WEATHER","NE",0,0
"WINTER WEATHER","NH",0,0
"WINTER WEATHER","NM",0,0
"WINTER WEATHER","NV",0,0
"WINTER WEATHER","OH",0,0
"WINTER WEATHER","OK",0,0
"WINTER WEATHER","PA",0,21
"WINTER WEATHER","RI",0,0
"WINTER WEATHER","SC",0,0
"WINTER WEATHER","TN",0,0
"WINTER WEATHER","UT",0,0
"WINTER WEATHER","VA",0,50
"WINTER WEATHER","VT",0,0
"WINTER WEATHER","WI",0,2
"WINTER WEATHER","WV",0,0
"WINTER WEATHER","WY",0,0
"WINTER WEATHER MIX","CA",0,68
"WINTER WEATHER/MIX","AK",0,0
"WINTER WEATHER/MIX","AL",0,0
"WINTER WEATHER/MIX","AR",0,0
"WINTER WEATHER/MIX","CA",0,0
"WINTER WEATHER/MIX","CT",0,0
"WINTER WEATHER/MIX","DC",0,0
"WINTER WEATHER/MIX","DE",0,0
"WINTER WEATHER/MIX","GA",0,0
"WINTER WEATHER/MIX","HI",0,0
"WINTER WEATHER/MIX","IA",0,0
"WINTER WEATHER/MIX","ID",0,0
"WINTER WEATHER/MIX","IL",0,0
"WINTER WEATHER/MIX","KY",0,0
"WINTER WEATHER/MIX","LA",0,0
"WINTER WEATHER/MIX","MA",0,5
"WINTER WEATHER/MIX","ME",0,0
"WINTER WEATHER/MIX","MN",0,0
"WINTER WEATHER/MIX","MO",0,0
"WINTER WEATHER/MIX","ND",0,0
"WINTER WEATHER/MIX","NE",0,0
"WINTER WEATHER/MIX","NH",0,0
"WINTER WEATHER/MIX","NJ",0,0
"WINTER WEATHER/MIX","NM",0,0
"WINTER WEATHER/MIX","NV",0,0
"WINTER WEATHER/MIX","NY",0,6
"WINTER WEATHER/MIX","OK",0,6
"WINTER WEATHER/MIX","OR",0,1
"WINTER WEATHER/MIX","SD",0,0
"WINTER WEATHER/MIX","UT",0,0
"WINTER WEATHER/MIX","WA",0,2
"WINTER WEATHER/MIX","WI",0,0
"WINTER WEATHER/MIX","WV",0,0
"WINTERY MIX","CT",0,0
"WINTERY MIX","MA",0,0
"Wintry mix","GA",0,0
"Wintry mix","SC",0,0
"Wintry Mix","IA",0,0
"WINTRY MIX","DE",0,0
"WINTRY MIX","GA",0,0
"WINTRY MIX","MD",0,0
"WINTRY MIX","NC",0,0
"WINTRY MIX","NJ",0,0
"WINTRY MIX","NY",0,5
"WINTRY MIX","SC",0,0
"WND","CA",0,0
